,u2
sh.600000,-0.10363044607838001
sh.600009,-0.00859024551731935
sh.600010,-0.007235998441577296
sh.600011,-0.023544203052694557
sh.600015,-0.10335572745930982
sh.600016,-0.09741627956837226
sh.600018,-0.055497532508674244
sh.600019,-0.061104072702874046
sh.600023,-0.04324782420928012
sh.600025,-0.04414040199134694
sh.600026,-0.030064141811015993
sh.600027,-0.03203384232664601
sh.600028,-0.09865819017264009
sh.600029,-0.02145304718431238
sh.600030,-0.03308671958321257
sh.600031,0.01073221491883673
sh.600036,-0.06687460215278848
sh.600039,-0.027308665075975437
sh.600048,-0.09160268390626436
sh.600050,-0.04482665437223773
sh.600061,-0.03955028465411635
sh.600066,0.01264280832315249
sh.600085,0.014584996137064135
sh.600089,0.03738405953218007
sh.600104,0.011199615261416308
sh.600111,0.059314430920308435
sh.600115,-0.0306162386744698
sh.600150,-0.003493676995860988
sh.600160,0.03576811239324795
sh.600161,0.020248702304825863
sh.600176,0.012433171653316985
sh.600183,0.055152154099065674
sh.600188,-0.048998963844238165
sh.600196,0.032744686297413284
sh.600219,-0.00013274096684205553
sh.600233,0.010465616755940757
sh.600276,0.032147727436416244
sh.600309,0.010258322782917056
sh.600332,-0.0025254676541777298
sh.600346,0.020612195331409934
sh.600362,-0.007863096052150836
sh.600372,0.054147169568951665
sh.600377,-0.08519780947092638
sh.600406,0.060872549052817776
sh.600415,-0.023609621038277642
sh.600426,0.0049200108714647015
sh.600436,0.05964367579261682
sh.600438,0.08857237094666347
sh.600460,0.09507007649245429
sh.600482,0.0047811443313310305
sh.600489,-0.019191745143731377
sh.600515,0.002704631773425826
sh.600519,0.03978472162237271
sh.600547,-0.019148370141495112
sh.600570,0.04040140018164851
sh.600584,0.07034787338290574
sh.600585,-0.07396156030350667
sh.600588,0.058344880354094804
sh.600600,0.03657584160940925
sh.600660,0.08976625707974813
sh.600674,-0.040166051751971986
sh.600690,0.0029718139666892666
sh.600741,0.037629623980152
sh.600760,0.06800169229683459
sh.600795,-0.04437156037329602
sh.600803,-0.002961989826123437
sh.600809,0.04138698253650922
sh.600845,0.04642148200066072
sh.600875,0.024525880597749714
sh.600886,-0.050997246337557464
sh.600887,0.021359887583155678
sh.600893,0.08302814383845858
sh.600900,-0.06752910855873225
sh.600918,-0.019310042923151912
sh.600919,-0.09721181777855761
sh.600926,-0.07402638095998054
sh.600958,-0.02258086391219409
sh.600989,-0.0011354565809047145
sh.600999,-0.01724834840459632
sh.601006,-0.10171602436544051
sh.601009,-0.09360419804323207
sh.601012,0.0886507173935469
sh.601021,-0.0048787474684928896
sh.601058,0.06258388310714594
sh.601066,-0.016398837822549386
sh.601077,-0.09524128231311743
sh.601088,-0.07638454805251617
sh.601100,0.0410087873439295
sh.601111,-0.027183114263487917
sh.601117,-0.04112381962658078
sh.601127,0.045223655376021195
sh.601138,0.01590471537361576
sh.601166,-0.09355237344061561
sh.601169,-0.10677000150265457
sh.601186,-0.09547923038959338
sh.601211,-0.047572876404949845
sh.601225,-0.05959721093452482
sh.601229,-0.09609883806106712
sh.601236,-0.006731213797266591
sh.601238,0.05228038161828672
sh.601288,-0.12389875642263093
sh.601298,-0.0727251300321179
sh.601318,-0.08025857103770358
sh.601319,-0.08950254081065145
sh.601328,-0.11142289805729924
sh.601336,-0.07712672525360893
sh.601360,0.026225865133792294
sh.601377,-0.026086104864976232
sh.601390,-0.09666851148471621
sh.601398,-0.11936333466816532
sh.601600,-0.034121464297422105
sh.601601,-0.08206266190938712
sh.601607,0.0010935524336855662
sh.601618,-0.07213643500038991
sh.601628,-0.07708721544608582
sh.601633,0.08664379110390408
sh.601658,-0.11271002896417964
sh.601668,-0.11872828353141346
sh.601669,-0.05109685319576972
sh.601688,-0.04342900739279085
sh.601689,0.10444793331855486
sh.601698,0.019127598962199108
sh.601699,-0.04638035018263006
sh.601766,-0.04353510926628901
sh.601788,-0.026242166632119594
sh.601799,0.09147885268521878
sh.601800,-0.09010256877108494
sh.601808,-0.0441521843219854
sh.601816,-0.054152091606411525
sh.601818,-0.11107933326707127
sh.601838,-0.08610402861129737
sh.601857,-0.08412591468403502
sh.601865,0.10030531689753777
sh.601872,-0.030512086484112872
sh.601877,0.07530834985319453
sh.601878,-0.013988012657834116
sh.601881,-0.04133193592436724
sh.601888,0.04937797772814252
sh.601898,-0.06976039265007819
sh.601899,-0.0047366241910617194
sh.601901,-0.020480860830507763
sh.601916,-0.07633069831869081
sh.601919,0.01185893906189301
sh.601939,-0.12332458159818867
sh.601985,-0.05430341220042645
sh.601988,-0.11625203244006964
sh.601998,-0.10917788863652296
sh.603019,0.04174691575192904
sh.603195,0.03944277183987471
sh.603259,0.07285566504301647
sh.603260,0.059402049814620515
sh.603288,0.026607291756764007
sh.603369,0.03578728986905149
sh.603392,0.054702772742123644
sh.603501,0.08927456365266895
sh.603799,0.09300792462258811
sh.603806,0.09792309867152876
sh.603833,0.00923969140644544
sh.603986,0.0786382349878497
sh.603993,0.020914161099309877
sh.688008,0.0681564486813735
sh.688009,-0.04584264560132925
sh.688012,0.08385651002396285
sh.688036,0.057251828511740356
sh.688111,0.0616501505774651
sh.688126,0.06597977784919522
sh.688169,0.044147161160038355
sh.688256,0.044078571684012836
sh.688396,0.07344584336922824
sh.688599,0.09897592991317329
sh.688981,0.041866855137842336
sz.000001,-0.06754505086814681
sz.000002,-0.0822248934773335
sz.000063,0.03526567852502409
sz.000100,0.037257737197682224
sz.000157,-0.00751856688169688
sz.000166,-0.04566218708727987
sz.000301,0.04928486252577559
sz.000333,0.003938566286224317
sz.000338,0.020106514758416495
sz.000408,0.04809360965867103
sz.000425,-0.012048102840404286
sz.000538,0.024598349573094393
sz.000568,0.0445908770505404
sz.000596,0.04375943767428892
sz.000617,-0.047829225934465015
sz.000625,0.058220587254719715
sz.000630,-0.02837582075393519
sz.000651,-0.01701929565464995
sz.000661,0.05278235176665071
sz.000708,-0.011606880085626802
sz.000725,0.02711633889005928
sz.000768,0.06480329781277609
sz.000776,-0.024124286859995066
sz.000786,-0.016690222248625777
sz.000792,0.012673263693557039
sz.000800,0.02332424866298339
sz.000807,-0.0284445285287222
sz.000858,0.04527289709611746
sz.000876,-0.0035403753778441888
sz.000895,-0.0007573729824746186
sz.000938,0.037439945083018115
sz.000963,0.03886109513745428
sz.000975,-0.006886618401305109
sz.000977,0.04339290790070207
sz.000983,-0.046868402080166655
sz.000999,0.0020552066768124736
sz.001965,-0.07426297810248575
sz.001979,-0.08876086572943491
sz.002001,0.018359942303750494
sz.002027,0.016490809819857954
sz.002028,0.06303522485103945
sz.002049,0.08623263939764406
sz.002050,0.07941318717315687
sz.002074,0.10019531752982337
sz.002129,0.0945961164975857
sz.002142,-0.07557865997810964
sz.002179,0.06165082548993245
sz.002180,0.06509489734750054
sz.002230,0.06150426483873756
sz.002236,0.04656869011688928
sz.002241,0.07511570492634971
sz.002252,0.011082886950166421
sz.002304,0.0331038641329525
sz.002311,0.035508955548895986
sz.002352,0.03307325526090625
sz.002371,0.10173450469639776
sz.002415,0.06098847879342686
sz.002422,0.01842305301023444
sz.002459,0.09271797260216025
sz.002460,0.09339713136155232
sz.002463,0.06044819336978615
sz.002466,0.07539903048755071
sz.002475,0.08255212428646336
sz.002493,0.01658620266299402
sz.002594,0.10955420439384339
sz.002600,0.04563045945229945
sz.002601,0.027654867481862296
sz.002648,0.015110253738424367
sz.002709,0.07916254325888275
sz.002714,0.01256297074672686
sz.002736,-0.03315972074728783
sz.002916,0.07264836527793982
sz.002920,0.0954364063695003
sz.002938,0.06924249281207578
sz.003816,-0.07926800302277395
sz.300014,0.10846670001262523
sz.300015,0.04972207842026754
sz.300033,0.015493257813982093
sz.300059,0.027318710313622326
sz.300122,0.044259074186698576
sz.300124,0.06350982321988571
sz.300274,0.10254494765947128
sz.300308,0.05740394141067707
sz.300316,0.11398739245267793
sz.300347,0.06449553342388845
sz.300394,0.0577766630840607
