,sh.600025,sh.600026,sh.600028,sh.600039,sh.600085,sh.600111,sh.600160,sh.600188,sh.600415,sh.600674,sh.600795,sh.601058,sh.601088,sh.601127,sh.601169,sh.601225,sh.601288,sh.601328,sh.601600,sh.601699,sh.601857,sh.601898,sh.601899,sh.601985,sh.601988,sh.603260,sz.000301,sz.000408,sz.000807,sz.000963,sz.000983,sz.000999,sz.001965,sz.002028,sz.002466,sz.002594,sz.002920,sz.300274,sz.300308,sz.302132
sh.600025,1.0,0.14146070836927366,0.2597376754065911,0.2691998466765694,0.15575860837214384,0.07401955413457222,0.22454670244961056,0.1931571708239183,0.08221700363414891,0.6527654799363135,0.5928407488624172,0.11840519537527583,0.30675521713628506,0.10102399877071226,0.18618174677738686,0.2421185371184581,0.126060279772503,0.13562778199286973,0.2337859900030578,0.2126454422436493,0.241209426377204,0.2736234312620509,0.061713613539367065,0.5779008223727694,0.11375116311985836,0.06995486117617336,0.103659031655479,0.04426390139887325,0.18144662087989247,0.1530465671375349,0.2311863140323187,0.14318705196314574,0.29955341433388244,0.22839988169201228,-0.01443026086413558,0.0395451472425053,-0.02337480773112076,0.02886635507431338,-0.06797822404536896,0.032074522477741216
sh.600026,0.14146070836927366,1.0,0.2778017102552106,0.09889480967145695,0.05931646217459121,0.16315707198522145,0.15473343134953177,0.2579795751299009,0.10242012071220524,0.1538583485544206,0.14454959405672085,0.06848847690264531,0.30301598898926935,0.0916572688146847,0.19718052487723153,0.3102439819405298,0.16448117144904456,0.19300110200784681,0.3057257450008589,0.2869568187709011,0.27199211327452133,0.3113482319888446,0.2580490888693806,0.2020582174279568,0.17157871749858278,0.10148289926164741,0.11418575135983634,0.10752269859215148,0.28090670216239444,0.05324997654270297,0.3063835432347508,0.03997902009697572,0.16553103416959158,0.06903704567427518,0.11717177133244641,0.07074148295511423,0.01366174812614583,0.02890190482621535,0.0264017475992651,0.06428609921737696
sh.600028,0.2597376754065911,0.2778017102552106,1.0,0.17888202453146257,0.149822974777969,0.165281299149441,0.1604109482284895,0.3965529096147492,0.2337368120109722,0.27764822274059897,0.26885950739216735,0.028032026586668923,0.5150648651571912,0.0720762702123345,0.5081039483653693,0.5026505659199647,0.4906735964430276,0.5064466071606167,0.4795481729506626,0.43744079366760136,0.5331099119960275,0.5147134216090559,0.4001495385956496,0.3708785496374201,0.4925134429369731,0.04986725269391066,0.08898146699193091,0.084064202927603,0.4336883418826384,0.08701783974708469,0.4714733702021439,0.12011886159936638,0.3959593816899426,0.027155000867127868,0.07006562002588868,0.001302797517789106,-0.07571685163366469,-0.07242044567313564,0.028370015372864852,0.07396837660668358
sh.600039,0.2691998466765694,0.09889480967145695,0.17888202453146257,1.0,0.1480771474897687,0.13159269182071687,0.16208162258695555,0.09426697619281924,0.10578810088231094,0.2834312243140921,0.26427299047446084,0.1252041031487161,0.15462118277907638,0.10817198947795292,0.17062571633212356,0.1401582097996726,0.1226936676382564,0.1411528515536942,0.19164336794200615,0.11659744682568071,0.16466648788212213,0.1444807087943786,0.1313552192161188,0.2794771077369525,0.11916224001454204,0.09710090520809664,0.12049337071710102,0.10186422733768942,0.16128119674020353,0.13593617948206232,0.1355823393675053,0.1190983167939021,0.1837453006976344,0.15163415674976594,0.085348451297515,0.11441046158637977,0.06481621113073999,0.07520767095416879,0.03992949801412331,0.08163383020755284
sh.600085,0.15575860837214384,0.05931646217459121,0.149822974777969,0.1480771474897687,1.0,0.1678522519606435,0.13694755640079562,-0.09898494377550142,0.20180700298696427,0.17903008122775257,0.18395289806881354,0.19110545677605345,-0.030509922191256353,0.1379827490775985,0.2856991941972387,-0.03329473769081778,0.23282973719535244,0.24536130553994134,0.13132452752458984,-0.07313545168962243,0.11498596841505394,-0.044807241147581195,0.13710949181326137,0.20231199209528022,0.22305743340372447,0.1071294393841108,0.14724589271072636,0.1510213319957644,0.10178928556007386,0.24188762428498534,-0.0453842017861463,0.2329076384528898,0.22276342046804726,0.1724737422546688,0.13210461829505277,0.21392432064891603,0.16932027596892285,0.1326989787784429,0.15837323499267533,0.1600907667420552
sh.600111,0.07401955413457222,0.16315707198522145,0.165281299149441,0.13159269182071687,0.1678522519606435,1.0,0.38954956565443083,0.21153477903728643,0.13800945487150879,0.1077124650646309,0.10457534238674042,0.34530000584306575,0.20960711867653042,0.3234426513608115,0.07638237192942578,0.2740676248493672,-0.05041430057637144,0.0434560899328959,0.42760739660113745,0.2712292128514309,0.184250684175893,0.24052949806234938,0.42316455169929035,0.17392465654244885,-0.029872641562813766,0.38513083832384226,0.39052522383756894,0.3901552250045568,0.3984893218973017,0.21229064317293236,0.3064682150664795,0.09664329931086127,0.06885719366398815,0.3071983275959665,0.4529521242884612,0.4385376741169901,0.32580450381658815,0.33932647214233863,0.1968810423708361,0.2450801826203685
sh.600160,0.22454670244961056,0.15473343134953177,0.1604109482284895,0.16208162258695555,0.13694755640079562,0.38954956565443083,1.0,0.2273235338872005,0.09660369503583806,0.2518548209323068,0.23011960175752896,0.29895591982130687,0.24331621420632754,0.27984985126993556,0.046097822070484164,0.2786106221438947,-0.07102566777208655,0.008384959663267178,0.3828664599791788,0.27728677599663143,0.1783020895665936,0.2611152168923421,0.329274556395015,0.2742628879893276,-0.056234904091298346,0.32826234774321894,0.3348369112560792,0.3155120968866744,0.3492399485365122,0.18591328478265534,0.3064718019389528,0.08412081856001638,0.09265668387228418,0.30438020422040224,0.35378542906852517,0.3512509483849156,0.24799417054578893,0.28116051275882065,0.11940550215425871,0.18840084960813097
sh.600188,0.1931571708239183,0.2579795751299009,0.3965529096147492,0.09426697619281924,-0.09898494377550142,0.21153477903728643,0.2273235338872005,1.0,0.036733856473719004,0.20099989087464729,0.1742812501753679,0.020925345438815177,0.5960044043218474,0.09781301069775514,0.1310253176393814,0.6120025432145244,0.09482312855835409,0.14647337417506395,0.49142582759283115,0.6014724738527324,0.41550922615052427,0.622084114989431,0.38694215017616806,0.26375218858433774,0.11607422919681676,0.1442343890842437,0.1376080696548198,0.11669421700661646,0.46383604402094614,-0.060071687226805004,0.6185238933225571,-0.0920304810549957,0.14044988223719762,0.04397021009458867,0.15023433805138892,0.010230577307673886,-0.07194032175191056,-0.009072588998976623,-0.0643721477616431,0.015574502689274135
sh.600415,0.08221700363414891,0.10242012071220524,0.2337368120109722,0.10578810088231094,0.20180700298696427,0.13800945487150879,0.09660369503583806,0.036733856473719004,1.0,0.10000069700806805,0.10902327984081724,0.10293130593944405,0.09952919638588853,0.08781674204802908,0.3078139162811864,0.10260899163039507,0.2806357893152458,0.29074760264849464,0.19406996227280554,0.061924564940274825,0.20325581279532368,0.09528806133630047,0.19744825979509636,0.15431667751732825,0.2768890329593191,0.06586120381593642,0.0976612096385312,0.10712455437559197,0.16952872811381903,0.14909663459343994,0.08649256277639417,0.1571619395890876,0.2170585208887087,0.07562350419785939,0.0990867628407652,0.11863402226979743,0.07752264538780831,0.04857997070618799,0.11252222852016681,0.11289857559382664
sh.600674,0.6527654799363135,0.1538583485544206,0.27764822274059897,0.2834312243140921,0.17903008122775257,0.1077124650646309,0.2518548209323068,0.20099989087464729,0.10000069700806805,1.0,0.6070737609223495,0.14558020375527192,0.31805821555421243,0.12475692424526645,0.20575127991606124,0.25676839368529336,0.13647821157796547,0.15164196706714175,0.26428036112531694,0.22501164937373824,0.2583299093555042,0.2859449788262973,0.09225469352751792,0.5971647988563895,0.12482128043391641,0.09543432189805737,0.1314408273852497,0.07231131464612284,0.20890136731157438,0.17582672284069992,0.24684816532511747,0.1596178192751769,0.3149687399085015,0.25243840943734397,0.01608790914012177,0.07276795393909251,0.0015631805676266353,0.052675461352009526,-0.04978164410920775,0.052887521307677876
